05.03.2026                             Salida dinámica de lista                                                                                   1


		Elemento PEP	Denominación del objeto	Texto de pedido		   Val/MonObj	MonO	Doc.compr.	Usuario	Fe.contab.
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3186930		       17,76	USD	8241791818	AC41273	30.04.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Reparación de Pipping y barrido con gas		        2,90	USD	8241813614	ZA76360	30.04.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Fabric. e instal. guardas vonvy área vul		    4.925,60	USD	8241809791	AC13779	02.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       16,22	USD		ZA20326	03.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Cambio de alimentación eléctrica		    4.836,09	USD	8241809776	AC13779	03.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Cambio de piping tunel planta		   11.425,30	USD	8241813500	AC13451	03.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Servicio de reparacion piping gum 2 piso		   17.369,24	USD	8241813500	AC13451	03.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Analisis finito mordaza Steelastic		    2.798,16	USD	8241811862	AC13779	03.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reparacion piping sistema hidraulico		    9.406,35	USD	8241813499	AC13451	06.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Cambio de piping linea steelastic 6 "		   12.510,09	USD	8241813499	AC13451	06.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reparacion de linea tcu 1 piso gum C		   16.246,43	USD	8241813511	AC13451	06.05.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Fabricación e instalación de guardas		    1.612,50	USD	8241827265	AC13779	07.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       30,22	USD		ZA46317	08.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			    2.737,54	USD		ZA46317	08.05.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Fabric. e instal. guardas vonvy área vul		      103,40	USD	8241809791	AC41273	08.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reparacion de linea tcu 1 piso gum C		       60,96	USD	8241813511	AC41273	09.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Analisis finito mordaza Steelastic		       53,40	USD	8241811862	AC41273	09.05.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B	Fabricación e instalación de guardas		-1,50	USD	8241827265	AC41273	10.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Valvula compuerta 3 clase 300 libra		      238,48	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flanges plano   DIN DN80 PN25		       86,90	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Codos 90 4" A-234 SCH80		      259,86	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Codos 90 3" A-234 SCH80 SOLDAR		      127,91	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reducc. Concentricas 4"x3" A-234 SCH80..		      131,49	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reduccc. Concentricas 3"x2" A-234SCH80.		       80,86	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flanges Planos DIN DN65 PN25		       76,96	USD	8241833070	AC44147	14.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reparacion piping sistema hidraulico		      220,60	USD	8241813499	AC77311	15.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Cambio de piping linea steelastic 6 "		      293,39	USD	8241813499	AC77311	15.05.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3186930		    7.749,62	USD	8241791818	AC44147	16.05.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	AIRE ACONDICIONADO RITTAL P/N: 3186930		   33.561,87	USD	8241801567	AC44147	16.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Valvula compuerta 3 clase 300 libra		        1,54	USD	8241833070	AC41273	17.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flanges plano   DIN DN80 PN25		        0,57	USD	8241833070	AC41273	17.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Codos 90 4" A-234 SCH80		        1,68	USD	8241833070	AC41273	17.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Codos 90 3" A-234 SCH80 SOLDAR		        0,83	USD	8241833070	AC41273	17.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reducc. Concentricas 4"x3" A-234 SCH80..		        0,85	USD	8241833070	AC41273	17.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Reduccc. Concentricas 3"x2" A-234SCH80.		        0,52	USD	8241833070	AC41273	17.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Flanges Planos DIN DN65 PN25		        0,50	USD	8241833070	AC41273	17.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Alimentación Eléct Tecle taller de Mixer		    1.455,68	USD	8241809884	AC13779	23.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Instalación eléctrica tecle edif mixer.		    3.110,39	USD	8241809885	AC13779	23.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Planimetria aplicador de huincha St.		      765,91	USD	8241828904	AC13779	23.05.2024
		EEX-240004-01	EX-Upgrade AACC Units for TBM	AIRE ACONDICIONADO RITTAL P/N: 3186930		       99,45	USD	8241791818	AC41273	23.05.2024
		EEX-240003-01	EX-Upgrade AACC Units for Extruder & ASR	AIRE ACONDICIONADO RITTAL P/N: 3186930		      430,68	USD	8241801567	AC41273	23.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       36,45	USD		ZA20326	23.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Fabricación de mueble		      537,03	USD	8241836688	AA96022	24.05.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    1.806,95	USD		ZA81615	24.05.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    1.675,66	USD		ZA20326	25.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales			    9.662,22	USD		AA14149	03.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Alimentación Eléct Tecle taller de Mixer		-19,35	USD	8241809884	AC77311	29.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Planimetria aplicador de huincha St.		-10,18	USD	8241828904	AC77311	29.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA	Instalación eléctrica tecle edif mixer.		-41,36	USD	8241809885	AC77311	29.05.2024
		EEX-240000	EX-Cambio Duct Eqs AC S. Social y P Grua	Motor ventilador equipo ACC		    1.008,20	USD	8241781225	AC44147	30.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       26,78	USD		ZA20326	31.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       22,05	USD		ZA20326	31.05.2024
		EEX-240008-01	EX-Normalizar trabajos eléc. y mecá DivA			       31,09	USD		ZA20326	31.05.2024
		EEX-240000	EX-Cambio Duct Eqs AC S. Social y P Grua			-1.008,20	USD		AA14149	31.05.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua			    1.008,20	USD		AA14149	31.05.2024
		EEX-240000	EX-Cambio Duct Eqs AC S. Social y P Grua	Motor ventilador equipo ACC		-4,57	USD	8241781225	AC77311	31.05.2024
		EEX-240009-01	EX-Cambio piping suministros generales	Servicio de reparacion piping gum 2 piso		      812,11	USD	8241813500	AC91020	31.05.2024
		EEX-240007-01	EX-Critical Entrapment Points Div B			       64,36	USD		ZA20326	03.06.2024
		EEX-240000-01	EX-Cambio Duct Eqs AC S. Social y P Grua			-4,57	USD		AA14149	31.05.2024
		EEX-240000	EX-Cambio Duct Eqs AC S. Social y P Grua			        4,57	USD		AA14149	31.05.2024
		EEX-240011-01	EX-Modificación de seguridad carros ntco			    3.351,33	USD		ZA20326	06.06.2024
